COMPNOS,NatureCode,INCIDENT_TYPE_DESCRIPTION,MAIN_CRIMECODE,REPTDISTRICT,REPORTINGAREA,FROMDATE,WEAPONTYPE,Shooting,DOMESTIC,SHIFT,Year,Month,DAY_WEEK,UCRPART,X,Y,STREETNAME,XSTREETNAME,Location
152002215,PSHOT,HOMICIDE,01xx,B2,0,01/08/2015 10:45:00 PM,Firearm,Yes,No,First,2015,1,Thursday,Part One,767397.5413,2940762.449,HARRISHOF ST,,"(42.31686636, -71.08872955)"
152005273,SHOTS,HOMICIDE,01xx,B2,0,01/20/2015 11:03:00 AM,Firearm,No,No,Day,2015,1,Tuesday,Part One,762206.2941,2947728.97,FRANCIS ST,,"(42.33604989, -71.1078052)"
152007197,STAB,HOMICIDE,01xx,B2,0,01/26/2015 08:55:00 PM,Other,No,No,First,2015,1,Monday,Part One,772848.9342,2943653.763,SHETLAND ST,,"(42.32472635, -71.06851956)"
152011169,PSHOT,HOMICIDE,01xx,E13,0,02/11/2015 10:30:00 AM,Unarmed,No,No,Day,2015,2,Wednesday,Part One,758826.0489,2937858.336,CENTRE ST,,"(42.30900635, -71.12046954)"
152020647,PSHOT,HOMICIDE,01xx,B2,0,03/14/2015 03:46:00 PM,Unarmed,Yes,No,Day,2015,3,Saturday,Part One,771888.2764,2942305.988,DUDLEY ST,BROOK AV,"(42.32104128, -71.07209693)"
152020804,PSHOT,HOMICIDE,01xx,E18,0,03/15/2015 03:58:00 AM,Firearm,Yes,No,Last,2015,3,Sunday,Part One,759174.474,2919480.265,LINCOLN ST,,"(42.25857137, -71.11948454)"
152026045,PSHOT,HOMICIDE,01xx,B3,0,03/31/2015 11:30:00 AM,Unarmed,Yes,No,Day,2015,3,Tuesday,Part One,767125.0103,2931911.093,HARVARD ST,,"(42.29258135, -71.08989455)"
152028582,PSHOT,HOMICIDE,01xx,C11,0,04/08/2015 08:21:00 PM,Unarmed,Yes,No,First,2015,4,Wednesday,Part One,772361.3135,2937064.218,RICHFIELD ST,,"(42.3066511, -71.07044542)"
152037218,PSHOT,HOMICIDE,01xx,B2,0,05/07/2015 04:00:00 AM,Firearm,Yes,No,Last,2015,5,Thursday,Part One,770023.8319,2943752.617,WINTHROP ST,,"(42.32503635, -71.07896455)"
152042211,PSHOT,HOMICIDE,01xx,B2,0,05/23/2015 12:50:00 AM,Unarmed,Yes,No,Last,2015,5,Saturday,Part One,,,WEAVER WY,,"(0.0, 0.0)"
152045578,IVPER,HOMICIDE,01xx,E5,0,06/02/2015 07:17:00 AM,Firearm,No,No,Last,2015,6,Tuesday,Part One,753758.9038,2925890.582,WASHINGTON ST,,"(42.27622636, -71.13938954)"
152048199,PSHOT,HOMICIDE,01xx,C11,0,06/10/2015 07:53:00 PM,Firearm,Yes,No,First,2015,6,Wednesday,Part One,772576.4249,2928248.165,FULLER ST,,"(42.28245637, -71.06981457)"
,PSHOT,Homicide,01xx,B2,281,07/02/2015 12:00:00 AM,None,Yes,No,,2015,7,Thursday,Part One,769600,2940000,GREENVILLE ST,NULL,"(42.3269680118345, -71.0805194111938)"
,PSHOT,Homicide,01xx,B2,322,07/04/2015 10:47:00 PM,None,Yes,No,,2015,7,Saturday,Part One,,,GLENBURNE ST,HOLBORN ST,"(0.0, 0.0)"
,IVPER,Homicide,01xx,A1,112,07/08/2015 12:15:00 PM,None,No,No,,2015,7,Wednesday,Part One,,,CHAUNCY ST,ESSEX ST,"(0.0, 0.0)"
,NULL,Homicide,01xx,E18,520,07/09/2015 01:38:00 PM,None,No,No,,2015,7,Thursday,Part One,,,RIVER ST,NULL,"(0.0, 0.0)"
,SHOTS,Homicide,01xx,C11,402,07/11/2015 05:57:00 PM,Firearm,No,No,,2015,7,Saturday,Part One,,,BAILEY ST,NULL,"(0.0, 0.0)"
,UNKEMS,Homicide,01xx,E5,941,07/20/2015 12:00:00 AM,None,Yes,No,,2015,7,Monday,Part One,759264,2930000,BROOKWAY RD,NULL,"(42.2939668742776, -71.1189396407617)"
,PSHOT,Homicide,01xx,B2,330,07/28/2015 12:00:00 AM,None,Yes,No,,2015,7,Tuesday,Part One,768688,2940000,SEAVER ST,NULL,"(42.3050537628241, -71.0840363315596)"
